grp1,grp1_size,grp2,grp2_size,grp3,grp3_size,p-value
30-34_115,99,110,102,35-39_221,92,0.0028198605583698963
50-54_115,50,<25,47,30-34_221,80,0.027833089971651775
110,112,30-34,223,35-39_221,92,0.0006116229208175438
30-34_110,29,45-49_221,53,40-44_115,93,0.042594586122937206
45-49_115,93,45-49_115,81,50-54,75,0.017176187710567184
50-54_115,50,40-44_Others,21,30-34_221,80,0.03412995072003875
30-34_110,29,35-39_115,110,>65,49,0.00011630395657520791
60-64_115,26,25-29_115,50,106,40,0.014520072122520168
40-44_110,24,40-44_115,91,25-29,110,0.03779268310981438
30-34_110,29,25-29_115,50,45-49_221,37,0.0023394237627445092
30-34_115,99,<25,47,40-44_221,68,0.01144077395882365
50-54,80,25-29,120,110,96,0.0007886767890408256
60-64,33,30-34_221,89,Others,113,0.0001661889621108109
30-34_221,79,114,71,40-44_221,68,0.048544320298247665
30-34_110,29,45-49_221,53,Others,113,0.0037520130092015226
30-34_110,29,<25,47,40-44_115,93,0.03765147125744653
60-64_115,26,Others,121,45-49_115,51,0.005862012164130792
30-34_110,29,35-39_114,21,30-34_115,80,0.0030438806827179326
60-64_115,26,25-29,120,>65,49,0.0025694590865660122
30-34_115,99,30-34_221,89,114,55,0.047407175023121674
40-44_114,24,25-29,120,45-49_115,51,0.0392154783390108
40-44_110,24,55-59,28,30-34_221,80,0.04176668718117658
60-64_115,26,35-39_115,110,55-59,37,0.009189804910119592
60-64,33,30-34_Others,36,106,40,0.013075740261945324
30-34_110,29,25-29_115,50,114,55,0.0019500891478039125
40-44_110,24,35-39_221,88,25-29,110,0.03536672541155841
40-44_110,24,Others,121,35-39_221,92,0.027913542962916458
221,388,30-34,223,45-49,138,0.0002676072102622849
35-39_221,108,55-59,28,110,96,0.04030043730331321
114,61,40-44_115,91,30-34,214,0.004400790275104262
60-64_115,26,110,102,25-29,110,0.014625692724932492
60-64_115,26,50-54_115,42,30-34_221,80,0.011489143549189573
40-44,291,221,394,115,486,0.03638662815699817
30-34_115,99,>65,35,50-54,75,0.007742960134319738
60-64_115,26,25-29_115,50,Unknown,35,0.049298167183670326
50-54_115,50,45-49_221,53,<25,59,0.02443317872328843
50-54,80,35-39_221,88,30-34,214,2.045676149231112e-05
45-49_115,93,50-54_115,42,50-54,75,0.043368826121802255
60-64,33,Others,121,25-29,110,7.528651153206223e-05
60-64,33,40-44_221,70,110,96,0.0021790988215176373
30-34_115,99,35-39_Others,28,50-54,75,0.0077341698029335425
110,112,25-29,120,50-54,75,0.007011096986654
50-54_115,50,35-39_115,110,55-59,37,0.014540963028964642
30-34_110,29,110,102,25-29,110,0.002207623370003122
